X,Y,Dist,bottom,surface
-160043.07856587897,-2213518.4817285803,0.0,293.64,1270.75
-160060.7908140441,-2213429.402333753,90.82327608851013,286.05417497158976,1271.4472187536737
-160078.28589019808,-2213340.2801200883,181.64655217702025,279.837109350544,1271.8703132704918
-160095.51994780003,-2213251.107024082,272.4698282655304,274.02428377557766,1268.6685735826916
-160112.67458791495,-2213161.918664062,363.2931043540405,272.90151829757775,1269.81463353218
-160130.02199739552,-2213072.767518909,454.1163804425506,271.6304270131883,1270.8046263634603
-160147.7128520473,-2212983.684005222,544.9396565310608,278.2258049736429,1271.8551000741743
-160165.79295517385,-2212894.678885166,635.7629326195708,283.44357326005303,1268.2896075396782
-160184.40131713788,-2212805.782466921,726.586208708081,290.8047846864365,1269.9642988285093
-160203.6269490236,-2212717.0175899253,817.4094847965912,292.6467270195015,1271.8021578458652
-160223.5557442513,-2212628.4080883726,908.2327608851012,291.63611469315555,1273.8022074749917
-160244.40187157603,-2212540.0101066027,999.0560369736114,297.43351048331795,1275.8942925505098
-160266.258103613,-2212451.8566863234,1089.8793130621216,301.2863891469786,1273.2772654774087
-160289.3596965283,-2212364.02145799,1180.7025891506316,307.32770017369,1276.108850086845
-160313.72436406338,-2212276.5278001586,1271.5258652391417,312.31603802411405,1276.9046257003215
-160339.2165148673,-2212189.355791382,1362.349141327652,320.2418484570804,1276.3555847598304
-160365.3959492579,-2212102.3875308544,1453.172417416162,333.5876951745345,1277.904461261127
-160391.96863125704,-2212015.538517616,1543.995693504672,353.28638088538514,1278.35
-160419.0380162883,-2211928.8430851395,1634.8189695931824,356.49122102835224,1278.1921864652984
-160446.45750223016,-2211842.257690208,1725.6422456816924,353.11647219682385,1278.0025594524086
-160474.30221557585,-2211755.808234049,1816.4655217702025,349.3099982016584,1277.3921735220997
-160502.57175863715,-2211669.496868472,1907.2887978587128,328.7203135635647,1275.7452205961374
-160531.15160817874,-2211583.287625038,1998.1120739472228,295.70153799722056,1278.0063634900332
-160560.62617530263,-2211497.380574869,2088.935350035733,285.73188382967606,1274.8649715765494
-160591.4801311549,-2211411.9597088336,2179.758626124243,276.39506133866905,1272.284935097962
-160623.82471221083,-2211327.0920271426,2270.581902212753,315.07356849859104,1270.6298389930619
-160657.52894119953,-2211242.7552824807,2361.4051783012633,345.5772749612747,1269.7685995570532
-160692.591505515,-2211158.973946721,2452.2284543897736,375.9649099284911,1268.7961500640429
-160728.71027847152,-2211075.6421393356,2543.0517304782834,399.2928185097999,1268.1891102392606
