X,Y,Dist,bottom,surface
-160043.07856587897,-2213518.4817285803,0.0,293.64,1270.75
-160051.93129732582,-2213474.057407946,45.29782441507147,289.68914615086055,1271.0519581567155
-160060.74644281995,-2213429.625594631,90.59564883014293,286.0737290022625,1271.444811454614
-160069.5240809896,-2213385.1863812963,135.8934732452144,282.9714211556518,1271.9285770772346
-160078.19821408478,-2213340.726852586,181.19129766028587,279.92157587825255,1271.9908265818276
-160086.8247732502,-2213296.258057522,226.48912207535733,275.1336104066079,1268.0694447073183
-160095.38942360025,-2213251.7773148995,271.7869464904288,274.0328474964403,1268.6594019136094
-160103.97751448335,-2213207.301131144,317.08477090550025,273.4784065522731,1269.2423085414323
-160112.50288451594,-2213162.812836843,362.38259532057174,272.9142045225124,1269.8036026535913
-160121.13228532425,-2213118.344588209,407.6804197356432,272.3088437540553,1270.3360431240471
-160129.8032618129,-2213073.884438199,452.97824415071466,271.6083259989619,1270.7938916321239
-160138.5609628607,-2213029.4413099173,498.27606856578615,274.3291734926097,1271.2499255814084
-160147.44246839287,-2212985.022737783,543.5738929808576,278.1104056147456,1271.8351732353246
-160156.4017720694,-2212940.619965222,588.8717173959291,280.3343040283221,1269.2005768582312
-160165.4718773938,-2212896.239591717,634.1695418110005,283.3140318773283,1268.256771533387
-160174.68768412332,-2212851.8891603,679.467366226072,286.95180862361406,1269.072149869246
-160184.0211717295,-2212807.5633639083,724.7651906411435,290.65596414467734,1269.929288123553
-160193.52559369747,-2212763.2738956385,770.0630150562149,293.83581523163855,1270.8197781045865
-160203.18426420938,-2212719.0178339034,815.3608394712865,292.68603161085946,1271.7573212256293
-160213.0146691005,-2212674.799563769,860.6586638863579,291.79384011740603,1272.7451734081683
-160223.04252356128,-2212630.625750677,905.9564883014293,291.3750283287768,1273.7512912344578
-160233.32215727866,-2212586.509782389,951.2543127165009,294.3989368037644,1274.7716627563805
-160243.81366262553,-2212542.443933455,996.5521371315723,297.2705123976611,1275.8335290200018
-160254.54555404146,-2212498.4358885903,1041.8499615466437,300.2126202181908,1276.9398297313296
-160265.58366351467,-2212454.5036411104,1087.1477859617153,301.02537215020385,1273.016447765991
-160276.93091755072,-2212410.6502238037,1132.4456103767866,304.13197118722564,1274.5384506676774
-160288.58783459675,-2212366.878178221,1177.7434347918581,307.1307804030213,1276.0099156451286
-160300.59438910376,-2212323.200606799,1223.0412592069297,310.1662271074456,1277.490153229719
-160312.8463681378,-2212279.5912523475,1268.339083622001,312.3631229891629,1277.4676080075342
-160325.44500345757,-2212236.0807404644,1313.6369080370725,315.37696790478105,1275.1595669568692
-160338.24637866663,-2212192.629477776,1358.934732452144,319.9087041360851,1276.275735311455
-160351.22684424432,-2212149.2313554226,1404.2325568672154,324.3105388921121,1277.2173457127765
-160364.33370820826,-2212105.8712199274,1449.530381282287,332.75591038745154,1277.868572788217
-160377.55941800386,-2212062.547198144,1494.8282056973585,343.9517246390886,1278.2348501514853
-160390.83155989618,-2212019.2373449947,1540.1260301124298,353.03687645564247,1278.3521622117612
-160404.2767660283,-2211975.980977262,1585.4238545275014,356.3708874706877,1278.2928499890234
-160417.805307033,-2211932.7505441685,1630.721678942573,356.62472854331463,1278.1982952425144
-160431.43674759535,-2211889.552451788,1676.0195033576442,354.9819991750565,1278.1213891158288
-160445.14357754687,-2211846.378178251,1721.3173277727158,353.28126464134675,1278.0156942701033
-160458.9941591094,-2211803.249900645,1766.6151521877873,351.4774340538673,1277.812277139973
-160472.8990567956,-2211760.139131717,1811.9129766028586,349.53711695330816,1277.441396544495
-160486.94501329414,-2211717.0741850953,1857.2108010179302,344.24892544605655,1276.8085057625874
-160501.0731076584,-2211674.0360347554,1902.5086254330017,330.2200029147793,1275.8625101269643
-160515.26783759778,-2211631.019766152,1947.806449848073,310.19159364390083,1274.856315497945
-160529.5614324559,-2211588.036260882,1993.1042742631446,296.29711426814345,1278.2340205454716
-160544.13090024388,-2211545.145596709,2038.4020986782161,291.25525287031417,1276.5989330371212
-160558.90018565545,-2211502.323286996,2083.6999230932875,286.2952213378304,1275.0364726868922
-160574.07902496317,-2211459.644580239,2128.9977475083588,281.48348652058496,1273.6239815470176
-160589.58234994725,-2211417.082484154,2174.2955719234305,277.01398559111897,1272.4157232334962
-160605.50205659185,-2211374.6743767504,2219.593396338502,294.64991248778307,1271.4338684419217
-160621.76441171663,-2211332.396649773,2264.891220753573,313.19888292671936,1270.698131622996
-160638.36627721868,-2211290.2512422926,2310.189045168645,328.3041958860943,1270.1986049269262
-160655.2963175651,-2211248.2362847333,2355.4868695837163,343.57566307372633,1269.812613593319
-160672.55648063065,-2211206.3557977234,2400.7846939987876,358.8465708548837,1269.4539179931962
-160690.16869794534,-2211164.6221675565,2446.0825184138594,373.9401103632939,1268.8876535019717
-160708.05590031165,-2211123.005838847,2491.3803428289307,388.9418057055734,1268.660000257028
-160726.1524121092,-2211081.4799437663,2536.678167244002,398.91535903501216,1268.2772806742132
-160744.51530100877,-2211040.0711855036,2581.9759916590738,401.50187145175283,1267.526450220368
-160763.22562202872,-2210998.818225766,2627.273816074145,403.8881147415724,1266.6007715274782
-160782.2042491099,-2210957.6883367095,2672.5716404892164,406.20122705810167,1265.6043518344743
-160801.47939776946,-2210916.696483911,2717.869464904288,407.961270436971,1264.3580286482504
-160821.13213223114,-2210875.8842339385,2763.1672893193595,407.1565321356373,1263.1006505221255
-160841.27193953135,-2210835.3101200755,2808.465113734431,406.2286664765754,1261.7910536376658
-160861.87872666703,-2210794.9720498216,2853.7629381495026,405.4145890969519,1260.4755027187075
-160883.02597151272,-2210754.9144042437,2899.060762564574,415.2683078151903,1259.0481501913134
-160904.80290837135,-2210715.1955940546,2944.358586979645,424.318792612674,1258.1683481046957
-160927.17153991514,-2210675.8064195765,2989.656411394717,433.5039627030319,1257.339039973781
-160950.25236271226,-2210636.8300315426,3034.9542358097883,441.825795763548,1256.8022794842964
-160973.9448988281,-2210598.222826691,3080.2520602248596,448.66703237901254,1256.6720745457897
-160998.2393412274,-2210559.9914111267,3125.5498846399314,455.07552002013324,1256.5453744256054
-161023.14925430922,-2210522.158395988,3170.8477090550027,461.38952529729374,1255.9009494596983
-161048.59418174188,-2210484.683144627,3216.145533470074,464.21856756475074,1255.317017726517
-161074.56514829915,-2210447.5702092494,3261.443357885146,463.6287708753134,1254.6986286183
-161101.05329497842,-2210410.824914152,3306.741182300217,462.9121287414624,1253.9841057787548
-161127.94038303063,-2210374.3704808066,3352.0390067152885,462.05834529185984,1253.1299968800963
-161155.31847925167,-2210338.282848449,3397.33683113036,461.1625863054717,1252.206377010565
-161183.14286832468,-2210302.5381028755,3442.6346555454315,459.11476713371815,1250.6788285239709
-161211.46027782842,-2210267.182843204,3487.932479960503,456.36021020235347,1249.1863120804087
-161240.2623536339,-2210232.221211054,3533.2303043755746,453.6415394081274,1247.7673314672547
-161269.4595230427,-2210197.589060337,3578.528128790646,450.96379758508476,1246.4006411105488
-161299.1392549116,-2210163.369846884,3623.8259532057173,448.20271994131656,1244.7928847519229
-161329.18642174883,-2210129.4729518616,3669.123777620789,448.64964236017397,1244.1934726222562
-161359.57099395015,-2210095.878163089,3714.4216020358604,449.40577705489716,1243.639574661932
-161390.34560104884,-2210062.6403409773,3759.7194264509317,450.0539119671065,1242.9756950804144
-161421.4408610009,-2210029.7014971077,3805.0172508660035,450.57985536380875,1242.158168794962
-161452.92989608704,-2209997.1390681723,3850.3150752810748,453.7697496557665,1241.179266408179
-161484.66936292735,-2209964.8205908407,3895.612899696146,458.5868456907622,1240.0256677141224
